Step 15600: {'loss': 111.36332702636719, 'l1_loss': 148.99940490722656, 'l2_loss': 103.91336059570312}
Step 15700: {'loss': 110.91191864013672, 'l1_loss': 130.05718994140625, 'l2_loss': 104.4090576171875}
Step 15800: {'loss': 110.66619110107422, 'l1_loss': 129.54588317871094, 'l2_loss': 104.18889617919922}
Step 15900: {'loss': 110.4735107421875, 'l1_loss': 136.8362274169922, 'l2_loss': 103.63169860839844}
Step 16000: {'loss': 111.5508804321289, 'l1_loss': 145.88209533691406, 'l2_loss': 104.25677490234375}
Step 16100: {'loss': 111.18754577636719, 'l1_loss': 140.67361450195312, 'l2_loss': 104.15386199951172}
Step 16200: {'loss': 110.64389038085938, 'l1_loss': 128.56982421875, 'l2_loss': 104.21540069580078}
Step 16300: {'loss': 110.6338882446289, 'l1_loss': 146.02182006835938, 'l2_loss': 103.33279418945312}
Step 16400: {'loss': 110.17298126220703, 'l1_loss': 139.56155395507812, 'l2_loss': 103.19490051269531}
Step 16500: {'loss': 110.68195343017578, 'l1_loss': 145.2473602294922, 'l2_loss': 103.41958618164062}
Step 16600: {'loss': 109.78329467773438, 'l1_loss': 139.73629760742188, 'l2_loss': 102.79647827148438}
Step 16700: {'loss': 110.53727722167969, 'l1_loss': 137.3312225341797, 'l2_loss': 103.67071533203125}
Step 16800: {'loss': 110.78482818603516, 'l1_loss': 154.43743896484375, 'l2_loss': 103.06295776367188}
Step 16900: {'loss': 110.40074157714844, 'l1_loss': 138.76528930664062, 'l2_loss': 103.46247863769531}
Step 17000: {'loss': 110.86782836914062, 'l1_loss': 141.32266235351562, 'l2_loss': 103.80169677734375}
Step 17100: {'loss': 110.87271881103516, 'l1_loss': 141.5000457763672, 'l2_loss': 103.79771423339844}
Step 17200: {'loss': 110.96757507324219, 'l1_loss': 146.57427978515625, 'l2_loss': 103.63886260986328}
Step 17300: {'loss': 110.48798370361328, 'l1_loss': 135.56015014648438, 'l2_loss': 103.70997619628906}
Step 17400: {'loss': 110.8627700805664, 'l1_loss': 132.85421752929688, 'l2_loss': 104.22006225585938}
Step 17500: {'loss': 110.32202911376953, 'l1_loss': 137.80398559570312, 'l2_loss': 103.43183135986328}
Step 17600: {'loss': 110.79171752929688, 'l1_loss': 139.78855895996094, 'l2_loss': 103.80229187011719}
Step 17700: {'loss': 110.9580307006836, 'l1_loss': 128.88201904296875, 'l2_loss': 104.51393127441406}
Step 17800: {'loss': 110.72722625732422, 'l1_loss': 138.20230102539062, 'l2_loss': 103.81710815429688}
Step 17900: {'loss': 111.1939697265625, 'l1_loss': 141.47323608398438, 'l2_loss': 104.12030792236328}
Step 18000: {'loss': 111.27600860595703, 'l1_loss': 143.46180725097656, 'l2_loss': 104.10292053222656}
Step 18100: {'loss': 111.20076751708984, 'l1_loss': 134.0163116455078, 'l2_loss': 104.49995422363281}
Step 18200: {'loss': 110.46752166748047, 'l1_loss': 139.63796997070312, 'l2_loss': 103.48562622070312}
Step 18300: {'loss': 110.09455108642578, 'l1_loss': 133.7615966796875, 'l2_loss': 103.4064712524414}
Step 18400: {'loss': 111.36856842041016, 'l1_loss': 146.9061737060547, 'l2_loss': 104.02326202392578}
Step 18500: {'loss': 111.07852935791016, 'l1_loss': 126.61447143554688, 'l2_loss': 104.747802734375}
Step 18600: {'loss': 111.7935791015625, 'l1_loss': 141.83587646484375, 'l2_loss': 104.7017822265625}
Step 18700: {'loss': 111.40291595458984, 'l1_loss': 145.41082763671875, 'l2_loss': 104.13237762451172}
Step 18800: {'loss': 110.66810607910156, 'l1_loss': 135.62286376953125, 'l2_loss': 103.886962890625}
Step 18900: {'loss': 110.79013061523438, 'l1_loss': 130.95648193359375, 'l2_loss': 104.2423095703125}
Step 19000: {'loss': 111.0230712890625, 'l1_loss': 135.10110473632812, 'l2_loss': 104.26801300048828}
Step 19100: {'loss': 110.67372131347656, 'l1_loss': 138.6787109375, 'l2_loss': 103.73978424072266}
Step 19200: {'loss': 111.22200012207031, 'l1_loss': 138.71145629882812, 'l2_loss': 104.28643035888672}
Step 19300: {'loss': 110.79296875, 'l1_loss': 136.47525024414062, 'l2_loss': 103.96920776367188}
Step 19400: {'loss': 110.52892303466797, 'l1_loss': 136.8491668701172, 'l2_loss': 103.68646240234375}
Step 19500: {'loss': 110.43000030517578, 'l1_loss': 143.14190673828125, 'l2_loss': 103.27290344238281}
Step 19600: {'loss': 110.7582015991211, 'l1_loss': 135.2566375732422, 'l2_loss': 103.99536895751953}
Step 19700: {'loss': 110.70819854736328, 'l1_loss': 142.8515625, 'l2_loss': 103.56562042236328}
Step 19800: {'loss': 110.33582305908203, 'l1_loss': 137.64791870117188, 'l2_loss': 103.45343017578125}
Step 19900: {'loss': 111.01516723632812, 'l1_loss': 139.03712463378906, 'l2_loss': 104.06330871582031}
Step 20000: {'loss': 111.30757904052734, 'l1_loss': 140.11614990234375, 'l2_loss': 104.30177307128906}
Step 20100: {'loss': 111.35009765625, 'l1_loss': 135.30128479003906, 'l2_loss': 104.58502960205078}
Step 20200: {'loss': 110.80570220947266, 'l1_loss': 145.91966247558594, 'l2_loss': 103.50971984863281}
Step 20300: {'loss': 110.42304229736328, 'l1_loss': 136.79495239257812, 'l2_loss': 103.58329772949219}
Step 20400: {'loss': 110.34713745117188, 'l1_loss': 144.25193786621094, 'l2_loss': 103.13453674316406}
Step 20500: {'loss': 110.80754089355469, 'l1_loss': 141.22470092773438, 'l2_loss': 103.74630737304688}
Step 20600: {'loss': 111.38507843017578, 'l1_loss': 134.42898559570312, 'l2_loss': 104.66362762451172}
Step 20700: {'loss': 110.85480499267578, 'l1_loss': 137.59365844726562, 'l2_loss': 103.9751205444336}
Step 20800: {'loss': 110.94493103027344, 'l1_loss': 136.84576416015625, 'l2_loss': 104.10264587402344}
Step 20900: {'loss': 110.58827209472656, 'l1_loss': 129.5924072265625, 'l2_loss': 104.10865020751953}
Step 21000: {'loss': 111.25238800048828, 'l1_loss': 127.90857696533203, 'l2_loss': 104.8569564819336}
Step 21100: {'loss': 110.12351989746094, 'l1_loss': 135.66622924804688, 'l2_loss': 103.3402099609375}
Step 21200: {'loss': 110.77301788330078, 'l1_loss': 135.68116760253906, 'l2_loss': 103.98896026611328}
Step 21300: {'loss': 110.28246307373047, 'l1_loss': 134.51559448242188, 'l2_loss': 103.55668640136719}
Step 21400: {'loss': 110.06472778320312, 'l1_loss': 137.9061279296875, 'l2_loss': 103.16941833496094}
Step 21500: {'loss': 110.43619537353516, 'l1_loss': 140.70660400390625, 'l2_loss': 103.40086364746094}
Step 21600: {'loss': 110.67610168457031, 'l1_loss': 131.71141052246094, 'l2_loss': 104.09053039550781}
Step 21700: {'loss': 111.25018310546875, 'l1_loss': 141.31399536132812, 'l2_loss': 104.18448638916016}
Step 21800: {'loss': 110.74290466308594, 'l1_loss': 143.23794555664062, 'l2_loss': 103.58100891113281}
Step 21900: {'loss': 109.74150848388672, 'l1_loss': 128.86709594726562, 'l2_loss': 103.29815673828125}
Step 22000: {'loss': 110.2120361328125, 'l1_loss': 128.09994506835938, 'l2_loss': 103.80703735351562}
Step 22100: {'loss': 110.3726806640625, 'l1_loss': 140.46124267578125, 'l2_loss': 103.34961700439453}
Step 22200: {'loss': 110.46157836914062, 'l1_loss': 136.87680053710938, 'l2_loss': 103.61773681640625}
Step 22300: {'loss': 110.92935180664062, 'l1_loss': 132.39105224609375, 'l2_loss': 104.30979919433594}
Step 22400: {'loss': 110.79454040527344, 'l1_loss': 136.62745666503906, 'l2_loss': 103.96316528320312}
Step 22500: {'loss': 111.00032806396484, 'l1_loss': 126.88241577148438, 'l2_loss': 104.65620422363281}
Step 22600: {'loss': 110.310302734375, 'l1_loss': 134.55471801757812, 'l2_loss': 103.58256530761719}
Step 22700: {'loss': 111.21842956542969, 'l1_loss': 137.17404174804688, 'l2_loss': 104.35972595214844}
Step 22800: {'loss': 110.536376953125, 'l1_loss': 128.92791748046875, 'l2_loss': 104.08998107910156}
Step 22900: {'loss': 110.81680297851562, 'l1_loss': 131.71441650390625, 'l2_loss': 104.2310791015625}
Step 23000: {'loss': 110.36502075195312, 'l1_loss': 137.52984619140625, 'l2_loss': 103.488525390625}
Step 23100: {'loss': 109.97865295410156, 'l1_loss': 141.31468200683594, 'l2_loss': 102.91291809082031}
Step 23200: {'loss': 110.46527099609375, 'l1_loss': 141.60528564453125, 'l2_loss': 103.385009765625}
Step 23300: {'loss': 109.87651824951172, 'l1_loss': 129.72830200195312, 'l2_loss': 103.39010620117188}
Step 23400: {'loss': 109.98102569580078, 'l1_loss': 131.13333129882812, 'l2_loss': 103.42436218261719}
Step 23500: {'loss': 109.86109924316406, 'l1_loss': 135.96934509277344, 'l2_loss': 103.06262969970703}
Step 23600: {'loss': 111.2332534790039, 'l1_loss': 138.62518310546875, 'l2_loss': 104.30199432373047}
Step 23700: {'loss': 110.5766372680664, 'l1_loss': 128.9182891845703, 'l2_loss': 104.13072204589844}
Step 23800: {'loss': 110.55606842041016, 'l1_loss': 137.51788330078125, 'l2_loss': 103.68017578125}
Step 23900: {'loss': 109.49462127685547, 'l1_loss': 131.75296020507812, 'l2_loss': 102.90697479248047}
Step 24000: {'loss': 110.95394134521484, 'l1_loss': 136.07135009765625, 'l2_loss': 104.15037536621094}
Step 24100: {'loss': 110.84928894042969, 'l1_loss': 138.41265869140625, 'l2_loss': 103.92865753173828}
Step 24200: {'loss': 110.72994995117188, 'l1_loss': 145.24240112304688, 'l2_loss': 103.46782684326172}
Step 24300: {'loss': 110.6633529663086, 'l1_loss': 134.30926513671875, 'l2_loss': 103.94789123535156}
Step 24400: {'loss': 110.67718505859375, 'l1_loss': 142.46627807617188, 'l2_loss': 103.55387115478516}
Step 24500: {'loss': 109.74873352050781, 'l1_loss': 142.70205688476562, 'l2_loss': 102.61363220214844}
Step 24600: {'loss': 110.10568237304688, 'l1_loss': 132.46426391601562, 'l2_loss': 103.48246765136719}
Step 24700: {'loss': 110.46435546875, 'l1_loss': 137.10525512695312, 'l2_loss': 103.60909271240234}
Step 24800: {'loss': 110.48536682128906, 'l1_loss': 130.36090087890625, 'l2_loss': 103.96732330322266}
Step 24900: {'loss': 109.83903503417969, 'l1_loss': 137.99075317382812, 'l2_loss': 102.93949890136719}
Step 25000: {'loss': 110.5451889038086, 'l1_loss': 137.41867065429688, 'l2_loss': 103.67425537109375}
Step 25100: {'loss': 110.35594177246094, 'l1_loss': 130.23321533203125, 'l2_loss': 103.84428405761719}
Step 25200: {'loss': 110.19166564941406, 'l1_loss': 135.1837158203125, 'l2_loss': 103.43247985839844}
Step 25300: {'loss': 109.8591079711914, 'l1_loss': 131.7625732421875, 'l2_loss': 103.27098083496094}
Step 25400: {'loss': 110.02632904052734, 'l1_loss': 144.47015380859375, 'l2_loss': 102.80281829833984}
